data_trend,data_count,asset,canny,asset_size,cond_scale,img_idx,input_prompt,CLIP,Lie_Factor,Match_count,Rank_Sim
falling,4,pine_tree,sparse,0.4,1.0,2,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3587,inf,1,0.0
falling,4,pine_tree,sparse,0.4,1.0,3,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3628,inf,1,0.0
falling,4,pine_tree,sparse,0.4,1.2,0,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3952,inf,0,0.0
falling,4,pine_tree,sparse,0.4,1.2,1,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3451,inf,0,0.0
falling,4,pine_tree,sparse,0.4,1.2,2,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.4136,inf,0,0.0
falling,4,pine_tree,sparse,0.4,1.2,3,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3536,inf,0,0.0
falling,4,pine_tree,sparse,0.4,1.4,0,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3996,inf,1,0.0
falling,4,pine_tree,sparse,0.4,1.4,1,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3776,inf,0,0.0
falling,4,pine_tree,sparse,0.4,1.4,2,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3609,inf,0,0.0
falling,4,pine_tree,sparse,0.4,1.4,3,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3941,inf,0,0.0
falling,4,pine_tree,sparse,0.6,0.6,0,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3507,inf,1,0.0
falling,4,pine_tree,sparse,0.6,0.6,1,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3545,inf,2,-1.0
falling,4,pine_tree,sparse,0.6,0.6,2,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3503,inf,1,0.0
falling,4,pine_tree,sparse,0.6,0.6,3,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3461,inf,1,0.0
falling,4,pine_tree,sparse,0.6,0.8,0,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3421,inf,2,1.0
falling,4,pine_tree,sparse,0.6,0.8,1,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3219,inf,0,0.0
falling,4,pine_tree,sparse,0.6,0.8,2,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3304,inf,1,0.0
falling,4,pine_tree,sparse,0.6,0.8,3,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3578,inf,1,0.0
falling,4,pine_tree,sparse,0.6,1.0,0,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3825,inf,0,0.0
falling,4,pine_tree,sparse,0.6,1.0,1,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3864,inf,0,0.0
falling,4,pine_tree,sparse,0.6,1.0,2,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3594,inf,1,0.0
falling,4,pine_tree,sparse,0.6,1.0,3,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3344,inf,1,0.0
falling,4,pine_tree,sparse,0.6,1.2,0,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3559,inf,0,0.0
falling,4,pine_tree,sparse,0.6,1.2,1,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3621,inf,0,0.0
falling,4,pine_tree,sparse,0.6,1.2,2,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3967,inf,0,0.0
falling,4,pine_tree,sparse,0.6,1.2,3,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3838,inf,0,0.0
falling,4,pine_tree,sparse,0.6,1.4,0,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3516,inf,0,0.0
falling,4,pine_tree,sparse,0.6,1.4,1,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3561,inf,0,0.0
falling,4,pine_tree,sparse,0.6,1.4,2,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.369,inf,1,0.0
falling,4,pine_tree,sparse,0.6,1.4,3,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3799,inf,0,0.0
falling,4,pine_tree,sparse,0.8,0.6,0,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3382,inf,1,0.0
falling,4,pine_tree,sparse,0.8,0.6,1,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3641,inf,0,0.0
falling,4,pine_tree,sparse,0.8,0.6,2,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3484,inf,0,0.0
falling,4,pine_tree,sparse,0.8,0.6,3,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.345,inf,0,0.0
falling,4,pine_tree,sparse,0.8,0.8,0,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3554,inf,0,0.0
falling,4,pine_tree,sparse,0.8,0.8,1,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3527,inf,0,0.0
falling,4,pine_tree,sparse,0.8,0.8,2,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3888,inf,1,0.0
